danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.556,0.686,0,-5.691,1,0.027,0.00283,0,0.0667,0.42,105.99,audio_features,0VKYHUrAXZnzLpNh9YFckH,spotify:track:0VKYHUrAXZnzLpNh9YFckH,https://api.spotify.com/v1/tracks/0VKYHUrAXZnzLpNh9YFckH,https://api.spotify.com/v1/audio-analysis/0VKYHUrAXZnzLpNh9YFckH,266640,4
0.554,0.651,1,-8.193,1,0.0419,0.399,0.000418,0.208,0.581,107.912,audio_features,15DrrIod12Tc2IoMaHiwlQ,spotify:track:15DrrIod12Tc2IoMaHiwlQ,https://api.spotify.com/v1/tracks/15DrrIod12Tc2IoMaHiwlQ,https://api.spotify.com/v1/audio-analysis/15DrrIod12Tc2IoMaHiwlQ,192707,4
0.561,0.836,9,-3.939,1,0.1,0.0525,0,0.136,0.517,127.923,audio_features,5FljCWR0cys07PQ9277GTz,spotify:track:5FljCWR0cys07PQ9277GTz,https://api.spotify.com/v1/tracks/5FljCWR0cys07PQ9277GTz,https://api.spotify.com/v1/audio-analysis/5FljCWR0cys07PQ9277GTz,226987,4
0.615,0.711,11,-5.507,1,0.0779,0.0444,0,0.145,0.711,144.036,audio_features,2zJZwWF7BTGIIvrAlgzJEx,spotify:track:2zJZwWF7BTGIIvrAlgzJEx,https://api.spotify.com/v1/tracks/2zJZwWF7BTGIIvrAlgzJEx,https://api.spotify.com/v1/audio-analysis/2zJZwWF7BTGIIvrAlgzJEx,221253,4
0.568,0.631,7,-5.623,1,0.0273,0.033,0,0.144,0.23,105.096,audio_features,3ogtSrlbtiTamktbA0hw0E,spotify:track:3ogtSrlbtiTamktbA0hw0E,https://api.spotify.com/v1/tracks/3ogtSrlbtiTamktbA0hw0E,https://api.spotify.com/v1/audio-analysis/3ogtSrlbtiTamktbA0hw0E,225027,4
0.668,0.718,1,-4.736,0,0.0605,0.0165,0,0.104,0.345,91.993,audio_features,4fINc8dnfcz7AdhFYVA4i7,spotify:track:4fINc8dnfcz7AdhFYVA4i7,https://api.spotify.com/v1/tracks/4fINc8dnfcz7AdhFYVA4i7,https://api.spotify.com/v1/audio-analysis/4fINc8dnfcz7AdhFYVA4i7,192200,4
0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,audio_features,7MmG8p0F9N3C4AXdK6o6Eb,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/tracks/7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/audio-analysis/7MmG8p0F9N3C4AXdK6o6Eb,227267,4
0.722,0.827,1,-6.501,0,0.0659,0.0844,0.0000914,0.0654,0.346,121.896,audio_features,3Wb4T8OJg4obJNBMUYgfPm,spotify:track:3Wb4T8OJg4obJNBMUYgfPm,https://api.spotify.com/v1/tracks/3Wb4T8OJg4obJNBMUYgfPm,https://api.spotify.com/v1/audio-analysis/3Wb4T8OJg4obJNBMUYgfPm,197954,4
0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,audio_features,5O2P9iiztwhomNh8xkR9lJ,spotify:track:5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/audio-analysis/5O2P9iiztwhomNh8xkR9lJ,226600,4
0.6,0.663,3,-5.802,1,0.0477,0.225,0,0.119,0.286,121.07,audio_features,4nVBt6MZDDP6tRVdQTgxJg,spotify:track:4nVBt6MZDDP6tRVdQTgxJg,https://api.spotify.com/v1/tracks/4nVBt6MZDDP6tRVdQTgxJg,https://api.spotify.com/v1/audio-analysis/4nVBt6MZDDP6tRVdQTgxJg,245493,4
